Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,sentiment,clean_text,topic
167616,B006BXUZVO,A1CFU5XJXN3PV4,Home Studio,0,0,3,1337126400,"Thin Box, Thin Flavor","While no worse than your average bowl of Raisin Bran, I was disappointed that I didn't find this to be noticeably better. The flavor of cinnamon could certainly be stronger (for my tastes, anyway), and the little slivers of almonds didn't really add to the ""crunch"" in any sort of meaningful way. And unlike the experience of some other reviewers, I found that this Raisin Bran got soggy remarkably fast after the milk was added, turning to slurry by the last few bites. I've definitely had other Raisin and Bran products that remained crisp longer.<br /><br />I was also a bit taken aback by the box, which holds only 14.5 ounces of cereal. It's the same height and width as the regular cereal box you'd see on the store shelf, but to hide the fact that you're not getting much cereal, the box is so skinny that I actually had trouble getting it to stand on end a time or two. And maybe this is common to a lot of cereals these days - it was just new to me.<br /><br />Overall, I've got nothing bad to say about this product...but to give it a rating of more than 3 stars, I'd have to feel like it was ""better than average"" somehow. And it simply wasn't.",neutral,while no worse than your average bowl of raisin bran i was disappointed that i didn t find this to be noticeably better the flavor of cinnamon could certainly be stronger for my tastes anyway and the little slivers of almonds didn t really add to the crunch in any sort of meaningful way and unlike the experience of some other reviewers i found that this raisin bran got soggy remarkably fast after the milk was added turning to slurry by the last few bites i ve definitely had other raisin and bran products that remained crisp longer i was also a bit taken aback by the box which holds only ounces of cereal it s the same height and width as the regular cereal box you d see on the store shelf but to hide the fact that you re not getting much cereal the box is so skinny that i actually had trouble getting it to stand on end a time or two and maybe this is common to a lot of cereals these days it was just new to me overall i ve got nothing bad to say about this product but to give it a rating of more than stars i d have to feel like it was better than average somehow and it simply wasn t,13
370298,B000ZSZ5S4,A2TMY1YEB4TA6,H. BURGESS,2,3,5,1268352000,Great taste.,"Almonds are super nutritional food and while high in fat, are certainly better than cheese puffs!",positive,almonds are super nutritional food and while high in fat are certainly better than cheese puffs,15
236755,B005Y110NQ,A3JNDZML3MI4TJ,"RLHT ""NYC to NJ to DC and back""",6,6,2,1326672000,"Completely new recipe, and not in a good way",These are not the old SB bars we came to love. I was so excited to see these back on shelves...until I tried them. They are not crispy like a PB rice crispy treat anymore. They are not sweet nor crispy. They are just disappointing.,negative,these are not the old sb bars we came to love i was so excited to see these back on shelves until i tried them they are not crispy like a pb rice crispy treat anymore they are not sweet nor crispy they are just disappointing,10
509317,B001397WYY,AKA9ZOPO81X5H,Anthony,0,0,5,1326326400,Organic goodness for the furry ones,"I have been feeding my cats Newman's Own Organics Organic Beef and Liver for years now and their health is the better for it.  Whenever I go to the vet and mention that I'm feeding them this they have nothing but good things to say.  The kitties love it and their hairless ape of a dad loves it to... loves to watch them love it, I don't eat it myself... not yet.",positive,i have been feeding my cats newman s own organics organic beef and liver for years now and their health is the better for it whenever i go to the vet and mention that i m feeding them this they have nothing but good things to say the kitties love it and their hairless ape of a dad loves it to loves to watch them love it i don t eat it myself not yet,0
536313,B0051ZCNIQ,A2IUBJJBH9PF9R,J. Raney,5,5,5,1271462400,Extremely healthy for you dogs!,"I highly recommend ALL Wellness products!! My Shih Tzu's were plaqued with severe allergy problems,, Spent $$$$ after $$$$ at vet for relief for them, nothing seemed to work.. I did extensive research on dog food and found out the mainstream brands are all crap, nothing but by products, additives, nothing natural about any of them.. Did research on Wellness and Blue Buffalo, look them up, you will find out for yourself.. Their products are all natural, no additives, no preservatives, 100% meat from animals that are NOT fed growth hormones, etc.. My dogs have been on this food, both wet and dry and they are thriving and the picture of health, bright eyes, shiny coats, full of energy and NO MORE allergies..",positive,i highly recommend all wellness products my shih tzu s were plaqued with severe allergy problems spent after at vet for relief for them nothing seemed to work i did extensive research on dog food and found out the mainstream brands are all crap nothing but by products additives nothing natural about any of them did research on wellness and blue buffalo look them up you will find out for yourself their products are all natural no additives no preservatives meat from animals that are not fed growth hormones etc my dogs have been on this food both wet and dry and they are thriving and the picture of health bright eyes shiny coats full of energy and no more allergies,0
490266,B0027IQC78,A1VVMEYTVZ2Q0G,April Silver,1,4,5,1301097600,"No more ""stinkies""","I initially ordered Sojos Complete Dog Food Mix to eliminate our French Bulldog puppy Boogie's ""stinkies"". Post research my boyfriend read that raw diet is the solution to ""stinkies"". Sojos Complete Dog Food Mix is all natural, convenient and smells flavorful. Sojos Complete Dog Food Mix is fresh and usually born within the same month of purchase. I regret the lack of transition from Solid Gold Just A Wee Bit to Sojos Complete Dog Food Mix for my two year old Dachshund Frankie. Frankie ate Sojos Complete Dog Food Mix for a couple of days and then completely stopped. I currently purchase Solid Gold Just A Wee Bit for Frankie. Boogie's ""stinkies"" are eliminated.",positive,i initially ordered sojos complete dog food mix to eliminate our french bulldog puppy boogie s stinkies post research my boyfriend read that raw diet is the solution to stinkies sojos complete dog food mix is all natural convenient and smells flavorful sojos complete dog food mix is fresh and usually born within the same month of purchase i regret the lack of transition from solid gold just a wee bit to sojos complete dog food mix for my two year old dachshund frankie frankie ate sojos complete dog food mix for a couple of days and then completely stopped i currently purchase solid gold just a wee bit for frankie boogie s stinkies are eliminated,0
95764,B001CX58IS,ABGKH1T5ASBWW,Cat lover,1,2,5,1265760000,Best chips ever!,"I have been looking everywhere for olive oil and rosemary potato chips since my local Italian grocer stopped carrying them. Was so surprised when I accidentally ran across them at Amazon and haven't been able to stop eating them since they arrived. These are the best chips I think I have ever had--fresh, crunchy, lightly flavored with rosemary, and best of all--made with heart healthy olive oil. I know that olive oil doesn't outweight the negative of eating these chips---but who cares--they're awesome!",positive,i have been looking everywhere for olive oil and rosemary potato chips since my local italian grocer stopped carrying them was so surprised when i accidentally ran across them at amazon and haven t been able to stop eating them since they arrived these are the best chips i think i have ever had fresh crunchy lightly flavored with rosemary and best of all made with heart healthy olive oil i know that olive oil doesn t outweight the negative of eating these chips but who cares they re awesome,7
494531,B003G1ZRTY,A2WCB04X1TTSDS,A. Holloway,9,10,2,1288828800,Not for me!,"I tried.. I really tried... I honestly tried...but I couldn't eat these things.  I will stick to the kind i purchase locally int he grocery store as they are crisp (really crisp) and not bad on taste with 19% fiber.<br />Even though these Scandinavian brand was recommended by Dr. Os and lots of others I just can't handle them. Tsate is not good in my opinion, texture is horrible, and Sahara Desert sand would be more moist.  I bought a large quantity of these things so regret doing that.  I though thet would be like my regular Crispbread.  I might be good for others but not for me.",negative,i tried i really tried i honestly tried but i couldn t eat these things i will stick to the kind i purchase locally int he grocery store as they are crisp really crisp and not bad on taste with fiber even though these scandinavian brand was recommended by dr os and lots of others i just can t handle them tsate is not good in my opinion texture is horrible and sahara desert sand would be more moist i bought a large quantity of these things so regret doing that i though thet would be like my regular crispbread i might be good for others but not for me,-1
466947,B0015MY6PC,A3JJUCA6K4P31H,Elliot Knapp,0,0,5,1248307200,Great fruit snacks; not just for kids,"It's nice to see Clif branching out into a different range of products (like not just energy bars) without sacrificing the quality of ingredients that go into them.  These fruit snacks were great; nice flavor, not too small or too big, and obviously made from real strawberries.  There's not much else to say, other than that I'm not a kid and I'd buy these for myself.  Don't judge me!",positive,it s nice to see clif branching out into a different range of products like not just energy bars without sacrificing the quality of ingredients that go into them these fruit snacks were great nice flavor not too small or too big and obviously made from real strawberries there s not much else to say other than that i m not a kid and i d buy these for myself don t judge me,-1
210349,B001TM70V0,AUW5XC67E9MIL,"Cold In Seattle ""Penny Pinching""",4,4,5,1300924800,"Green Eggs & Chicken, 3 Paws Up (includes a 17 yo and 7 yo picky Debutantes). Great Human Grade Cat Food Experience","During the cat food recalls of 2007, I became aware that the dry food I always fed my cats was not a good diet. In fact - at the time - I prided myself on feeding cats @ $8.00 a month.  Luckily, this Generic was not using the Gluten that was the cause of the Recalls.  After trying various tastes, my budget and cats decided on Holistic (use to be Eagle Pack Holistic) Chicken dry and Wellness Chicken Grain Free.<br /><br />Then, we had a problem with the Wellness Canned Cat Food Recently (it was pulled from Amazon - and now my Canned Chicken food doesn't show up in a review).  I then went to the Wellpet site, and noticed mostly dry food was offered from many online retailers.  THIS told me something was afoot - and I went back to the forum which helped me with cat food research.  Unfortunately, many folks had gone back to fish as a main part of their cats food.  However, they did bring up the rotation aspect - this means never feeding the same type of cat food concurrently, and also picking up some locally first, to make sure your cats will eat the darn thing.<br /><br />Locally, Chicken was the least affected of the Wellness foods, and the store I get it from, Wellness is manufactured at ANI (code begins MW).  This means I could also get a food that was produced at Menu/Simmons.  However, Weruva was raved about in the forums, so without knowing where it was manufactured - I gave a few cans a shot (Green Eggs & Chicken was the first flavor I read - so that is what I tried).  All cats slopped that food right up with no ill effects (Siberia is a 13 yo with sensi tummy issues, and there were none with this food - even after he gulped it up).<br /><br />I then looked up Weruva on the Internet, and found out it was manufactured in Thailand.  This first gave me pause, but they do guarantee Human Grade Food, and the food in the cans look quite edible (and no, I'm not eating it - but in an emergency ;-).<br /><br />Amazon has a better deal on this food than my local retailer. So my order for the cans went in (I had read some negative reviews here about the quality of the food, but with the Amazon Guarantee - how can you go wrong?)  I am pleased to announce that the food received from Amazon looked and tasted (according to the cats), as good as that purchased locally.  So for Weruva, Amazon has my business.<br /><br />With rotation, you can circumvent the cost of Weruva in a multi-cat household, AND being on a fixed income, through rotating.  I've settled on four canned food varieties, and one dry food (I may also be inclined to try some Weruva Paw Licken' Chicken, but for now - I have plenty of food).  The cost for multi-cat households is also offset by buying the larger canned varieties - 12.5oz to 13oz, and learning how to store them in the Refrigerator.<br /><br />On Amazon, I recommend the following:<br /><br /><a href=""http://www.amazon.com/gp/product/B001TM70WY"">Weruva Green Eggs & Chicken Cat Food, 5.5-Ounce Cans (Pack of 24)</a><br />Wellness Adult Turkey Canned Cat Food (I prefer the Chicken, but until it reappears, this will do just as well).<br /><a href=""http://www.amazon.com/gp/product/B000WFMCCM"">Felidae Canned Cat Food for Adult Cats and Kittens, Chicken and Rice Formula in Chicken Broth (Pack of 12 13 Ounce Cans)</a> (Its not grain free, but I personally don't like the mix for the regular, and neither do my cats).<br /><a href=""http://www.amazon.com/gp/product/B000F74248"">Innova Cat and Kitten Formula Canned Cat Food</a> (I had used it in 2007, and decided it wouldn't hurt them in a rotation.  Its the only wet food that contains some fish).<br /><a href=""http://www.amazon.com/gp/product/B0012PZ7U0"">Holistic Select Feline Radiant Adult and Kitten Health Chicken Meal Recipe Dry Cat Food, 3-Pound Bag</a> (I have tried to go all wet, but Baby Girl - 17, has had problems with all Grain Free, so a little dry didn't hurt her).<br /><br />I feed a little dry first thing in morning every day.  Then 1/2 can of one flavor, remainder placed in refrig plastic lid.  Then 1/2 can of another flavor, same storage.  The next day, those cans are used up by adding a little hot water and nuking from 5 to 8 secs (this depends on your microwave and amount of food).  The next day, we have 5.5 oz can of Weruva split between 3 cats, and 1/2 can of the last flavor.  The next day we have another 5.5 oz can, and the remainder of the previous can.  That is four days, fifth day we are back to the beginning.<br /><br />A side note, many supplement with Friskies canned in order to cut costs.  I personally have yet to get over the meat by-product thing.  However, if it would help your budget - <a href=""http://www.amazon.com/gp/product/B002CJAOR6"">Friskies Cat Food Classic Pate, Turkey & Giblets Dinner, 5.5-Ounce Cans (Pack of 24)</a> is THE best one to use for this purpose (no glutens).<br /><br />3 paws up for Weruva.",positive,during the cat food recalls of i became aware that the dry food i always fed my cats was not a good diet in fact at the time i prided myself on feeding cats a month luckily this generic was not using the gluten that was the cause of the recalls after trying various tastes my budget and cats decided on holistic use to be eagle pack holistic chicken dry and wellness chicken grain free then we had a problem with the wellness canned cat food recently it was pulled from amazon and now my canned chicken food doesn t show up in a review i then went to the wellpet site and noticed mostly dry food was offered from many online retailers this told me something was afoot and i went back to the forum which helped me with cat food research unfortunately many folks had gone back to fish as a main part of their cats food however they did bring up the rotation aspect this means never feeding the same type of cat food concurrently and also picking up some locally first to make sure your cats will eat the darn thing locally chicken was the least affected of the wellness foods and the store i get it from wellness is manufactured at ani code begins mw this means i could also get a food that was produced at menu simmons however weruva was raved about in the forums so without knowing where it was manufactured i gave a few cans a shot green eggs chicken was the first flavor i read so that is what i tried all cats slopped that food right up with no ill effects siberia is a yo with sensi tummy issues and there were none with this food even after he gulped it up i then looked up weruva on the internet and found out it was manufactured in thailand this first gave me pause but they do guarantee human grade food and the food in the cans look quite edible and no i m not eating it but in an emergency amazon has a better deal on this food than my local retailer so my order for the cans went in i had read some negative reviews here about the quality of the food but with the amazon guarantee how can you go wrong i am pleased to announce that the food received from amazon looked and tasted according to the cats as good as that purchased locally so for weruva amazon has my business with rotation you can circumvent the cost of weruva in a multi cat household and being on a fixed income through rotating i ve settled on four canned food varieties and one dry food i may also be inclined to try some weruva paw licken chicken but for now i have plenty of food the cost for multi cat households is also offset by buying the larger canned varieties oz to oz and learning how to store them in the refrigerator on amazon i recommend the following weruva green eggs chicken cat food ounce cans pack of wellness adult turkey canned cat food i prefer the chicken but until it reappears this will do just as well felidae canned cat food for adult cats and kittens chicken and rice formula in chicken broth pack of ounce cans its not grain free but i personally don t like the mix for the regular and neither do my cats innova cat and kitten formula canned cat food i had used it in and decided it wouldn t hurt them in a rotation its the only wet food that contains some fish holistic select feline radiant adult and kitten health chicken meal recipe dry cat food pound bag i have tried to go all wet but baby girl has had problems with all grain free so a little dry didn t hurt her i feed a little dry first thing in morning every day then can of one flavor remainder placed in refrig plastic lid then can of another flavor same storage the next day those cans are used up by adding a little hot water and nuking from to secs this depends on your microwave and amount of food the next day we have oz can of weruva split between cats and can of the last flavor the next day we have another oz can and the remainder of the previous can that is four days fifth day we are back to the beginning a side note many supplement with friskies canned in order to cut costs i personally have yet to get over the meat by product thing however if it would help your budget friskies cat food classic pate turkey giblets dinner ounce cans pack of is the best one to use for this purpose no glutens paws up for weruva,0
