Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,sentiment,clean_text,topic,keywords
185775,B0009YX9UU,A2CF7YI5LUE3MC,Alias,0,1,3,1335052800,"Decent cola flavor, terrible price","I bought this product for the home because we have avid soda-flavored candy lovers. Just to be clear, this product is NOT worth the price listed here. The quantity is slim, and as you'll see in my review, the flavor pales in comparison to other brands.<br /><br />In terms of finding cola hard candy, it's difficult to find it anywhere in the US. You may find haribo soda-flavored gummies, but their taste is usually not as strong as the hard-candy substitutes, and the gelatin ingredient may be unwanted to certain people. This candy is interesting in that it has a very mild fizz in it. That said, the candy is is very rough on the tongue/palette (most likely due to this fizz-additive). Now taste-wise, I've had many cola-flavor candies, and this candy's taste is not as strong as say-- candyland's cola flavored candy.<br /><br />If you can find a lower price, then have at it, but at the price amazon has this candy listed, it's not worth it. Be it made in Japan or Antarctica, this candy is candy, and should never be so expensive for such a meager amount.",neutral,i bought this product for the home because we have avid soda flavored candy lovers just to be clear this product is not worth the price listed here the quantity is slim and as you ll see in my review the flavor pales in comparison to other brands in terms of finding cola hard candy it s difficult to find it anywhere in the us you may find haribo soda flavored gummies but their taste is usually not as strong as the hard candy substitutes and the gelatin ingredient may be unwanted to certain people this candy is interesting in that it has a very mild fizz in it that said the candy is is very rough on the tongue palette most likely due to this fizz additive now taste wise i ve had many cola flavor candies and this candy s taste is not as strong as say candyland s cola flavored candy if you can find a lower price then have at it but at the price amazon has this candy listed it s not worth it be it made in japan or antarctica this candy is candy and should never be so expensive for such a meager amount,12,"candyland cola,flavored candy,cola flavor"
324306,B0012UK4BM,A203UGP75F625U,Donald Boe,0,0,5,1317945600,Dogs Love them,My dogs think these are the greatest thing since a T-Bone Steak.  They don't last very long but it provides about 20 hours of chew time for my golden/lab mix,positive,my dogs think these are the greatest thing since a t bone steak they don t last very long but it provides about hours of chew time for my golden lab mix,0,"hours chew,chew time,bone steak"
525556,B001FA1KNK,ACN8LAS82MPV0,"Madame ""Butterfly""",1,1,5,1204416000,cool hot tea,"This is the best of British tea available, I buy it all the time.  This tea is really good for those people who want a strong cup of tea that can take milk.  One teabag will make 2 cups of tea.  It's a great value.",positive,this is the best of british tea available i buy it all the time this tea is really good for those people who want a strong cup of tea that can take milk one teabag will make cups of tea it s a great value,2,"british tea,tea great,tea available"
523940,B004JGQ15Y,A37RIRXE3WECZ,April Blake,0,0,3,1304985600,All Sugared Up With Noplace To Go,"I tried the Peanut Butter variety of Oreo Fudge Cremes, and they are definitely delicious- and RICH! When I first opened the pack, I was a little disappointed by what looked like a very meager number of cookies in the 11.3-ounce package.  The recommended serving size is 3 cookies.  Now, with a regular Oreo, I laugh at the regular serving size and proceed to obliterate an entire package in one or two sittings sometimes.  So I was ready to yell ""What a rip-off, Oreo!"" and be done with it.<br /><br />Then I tried a cookie.  I expected the fudge on the outside to be a little waxy and not very flavorful.  That's not the case with the Oreo Fudge Creme.  That fudge flavor was almost overpowering as I popped the whole cookie in my mouth - they're small enough to do that!  Then came the crunch of the thin Oreo, and the distinctive Oreo creme texture but VERY potent peanut butter flavor of the filling.  Imagine a piece of peanut butter creme pie with an Oreo crust exploding in your mouth, and that's close to the experience of these cookies.<br /><br />Back to my initial impression that Oreo's ripping us all off, putting so few of these cookies in a package.  People, it's a public service that they don't put more in.  At first I'd scoffed at the serving size, and while I had to try two of these cookies in pretty rapid succession (a conditioned response to an open package that says ""Oreo"" on it), I admit as I ate the third, I was slowed down considerably, more to a civilized three-bite per cookie pace.  That's when the richness and sugariness of the first two started hitting me.  I poured a glass of milk and enjoyed the rest of the third cookie, and had a fourth out of obligation to the remainder of my milk, and have decided that's the way to enjoy the Fudge Cremes- at least the Peanut Butter flavor- with a glass of milk.  I'd still rather have a package of original Oreo Cookies, or Double-Stufs, but I do like that the Peanut Butter Oreo Fudge Cremes encourage drinking a glass of milk, and I do think that three of them is quite a generous serving if you're enjoying a glass of milk and taking the time to enjoy each bite, instead of wolfing down a handful.  They're a fun treat I think even Cookie Monster would approve of... in moderation.",neutral,i tried the peanut butter variety of oreo fudge cremes and they are definitely delicious and rich when i first opened the pack i was a little disappointed by what looked like a very meager number of cookies in the ounce package the recommended serving size is cookies now with a regular oreo i laugh at the regular serving size and proceed to obliterate an entire package in one or two sittings sometimes so i was ready to yell what a rip off oreo and be done with it then i tried a cookie i expected the fudge on the outside to be a little waxy and not very flavorful that s not the case with the oreo fudge creme that fudge flavor was almost overpowering as i popped the whole cookie in my mouth they re small enough to do that then came the crunch of the thin oreo and the distinctive oreo creme texture but very potent peanut butter flavor of the filling imagine a piece of peanut butter creme pie with an oreo crust exploding in your mouth and that s close to the experience of these cookies back to my initial impression that oreo s ripping us all off putting so few of these cookies in a package people it s a public service that they don t put more in at first i d scoffed at the serving size and while i had to try two of these cookies in pretty rapid succession a conditioned response to an open package that says oreo on it i admit as i ate the third i was slowed down considerably more to a civilized three bite per cookie pace that s when the richness and sugariness of the first two started hitting me i poured a glass of milk and enjoyed the rest of the third cookie and had a fourth out of obligation to the remainder of my milk and have decided that s the way to enjoy the fudge cremes at least the peanut butter flavor with a glass of milk i d still rather have a package of original oreo cookies or double stufs but i do like that the peanut butter oreo fudge cremes encourage drinking a glass of milk and i do think that three of them is quite a generous serving if you re enjoying a glass of milk and taking the time to enjoy each bite instead of wolfing down a handful they re a fun treat i think even cookie monster would approve of in moderation,10,"oreo cookies,oreo fudge,oreo creme"
388478,B0030VJA7K,A2AJ25RVRCJA4L,LeahS,0,0,5,1289865600,My Son LOVES these,"My son loves these melts. They are easy to take with us, and great to mix with other treats to give as a healthy snack during the day. I secretly like them too :)",positive,my son loves these melts they are easy to take with us and great to mix with other treats to give as a healthy snack during the day i secretly like them too,5,"melts easy,loves melts,melts"
32539,B009NTCO4O,A16MSLN6N2NG6H,Teresa,17,17,5,1198627200,"Omaha cheesecake sampler/ Teresa, ny","I purchased this item for a christmas<br />gift for my husband he loves cheesecake<br />and he loved it. I have to say this is<br />one of the best cheesecakes I have ever<br />had. I would recommend this product to<br />anyone, it is so fresh and absolutely<br />delicious, enjoy.",positive,i purchased this item for a christmas gift for my husband he loves cheesecake and he loved it i have to say this is one of the best cheesecakes i have ever had i would recommend this product to anyone it is so fresh and absolutely delicious enjoy,-1,"loves cheesecake,best cheesecakes,cheesecakes recommend"
424076,B003UHYN0I,A2AVT94O0MJ1KX,Sigh,2,2,1,1315353600,Arrived moldy!,"I buy treats for my dogs in bulk to have them on hand. I opened this package 2 months after purchase, which meant it is too late to return, and found the product to be moldy. This is even though the expiration date hasn't been reached yet. Also, the sweet potatoes are soft, as if they are not fully dehydrated. I've bought this product at local stores and haven't had a problem. This must be part of a bad batch. I won't be buying this product or other dog treats from Amazon again, as now I am out of the money I paid.",negative,i buy treats for my dogs in bulk to have them on hand i opened this package months after purchase which meant it is too late to return and found the product to be moldy this is even though the expiration date hasn t been reached yet also the sweet potatoes are soft as if they are not fully dehydrated i ve bought this product at local stores and haven t had a problem this must be part of a bad batch i won t be buying this product or other dog treats from amazon again as now i am out of the money i paid,0,"moldy expiration,dog treats,buy treats"
65422,B001EQ55ZO,A2MO8QZTNYYB98,Sheri Fogarty,0,0,3,1216080000,Tasty...almost too tasty,"We love cashews and as we have teenagers always have a jar of them on the counter for quick snacks so I was very interested to try these flavored cashews.<br /><br />The first handful was great. The seasoning is nice but if you have more then one handful the flavors become too strong really fast. A few of our teens tried them out also and had the same feedback.<br /><br />If they had had just a bit less seasoning we would have all liked them much better. If I were to get them again, I'd mix them with the same amount of regular cashews which would be just about the right amount of seasoning for me.",neutral,we love cashews and as we have teenagers always have a jar of them on the counter for quick snacks so i was very interested to try these flavored cashews the first handful was great the seasoning is nice but if you have more then one handful the flavors become too strong really fast a few of our teens tried them out also and had the same feedback if they had had just a bit less seasoning we would have all liked them much better if i were to get them again i d mix them with the same amount of regular cashews which would be just about the right amount of seasoning for me,16,"flavored cashews,regular cashews,love cashews"
21492,B002QWP89S,A1S7U6E1L3GOV3,Gary K,0,0,4,1255564800,Great price for this product,This is a terrific price for this product and quantity. The package always arrives early.,positive,this is a terrific price for this product and quantity the package always arrives early,6,"quantity package,package arrives,product quantity"
40644,B000HYI2AO,AZ4LM6O9293K0,sara hoffman,0,0,3,1327795200,Not flavors listed,"Though some reviewers received packages with the listed flavors, we received a box of 18 packages containing only the flavors strawberry & grape.  For the price, will probably try buying again and see what we end up with since the kids aren't too particular.",neutral,though some reviewers received packages with the listed flavors we received a box of packages containing only the flavors strawberry grape for the price will probably try buying again and see what we end up with since the kids aren t too particular,12,"flavors strawberry,listed flavors,containing flavors"
132834,B000HG84EQ,A2AYGUHIXT7RP3,"Alan R. Liverance ""ARL""",4,8,1,1293840000,Where did the REAL stuff go???,"If you like a hint of the past then this stuff is for you. All I can say is what a disappointment...<br />The problem with these, Archer Farms and Kettle Valley are that all Fruit Leathers have become APPLE leathers with a smattering of the desired flavor in puree form. There used to be real pure fruit leathers made from the actual fruit (Apricot, Strawberry, etc) but for some reason they disappeared from the market about 10 years ago (last company I recall was 'Nature ...' something). I guess like everything else these days the emphesis is 'make it on the cheap' and forget the real quality.<br /><br />It's a shame if it's merely a cost decision, there's a bonafide market out there for the real thing even if it's a little more expensive.",negative,if you like a hint of the past then this stuff is for you all i can say is what a disappointment the problem with these archer farms and kettle valley are that all fruit leathers have become apple leathers with a smattering of the desired flavor in puree form there used to be real pure fruit leathers made from the actual fruit apricot strawberry etc but for some reason they disappeared from the market about years ago last company i recall was nature something i guess like everything else these days the emphesis is make it on the cheap and forget the real quality it s a shame if it s merely a cost decision there s a bonafide market out there for the real thing even if it s a little more expensive,-1,"fruit leathers,apple leathers,leathers apple"
15842,B007TJGZ5E,A3UOYYQS5Z47MS,"David A. Levin ""DaveL""",0,0,5,1351209600,Morning Coffee,Great coffee at a good price. I'm a subscription buyer and I buy this month after month. What more can I say?,positive,great coffee at a good price i m a subscription buyer and i buy this month after month what more can i say,1,"coffee good,great coffee,coffee"
