topic,negative,neutral,positive,size,top_words
17,0.23958333333333334,0.08333333333333333,0.6770833333333334,96,"jerky, beef, beef jerky, meat, jack"
18,0.2222222222222222,0.08641975308641975,0.691358024691358,81,"product, flavor, tastes, great, like"
6,0.19907407407407407,0.05555555555555555,0.7453703703703703,216,"product, price, order, amazon, service"
12,0.18620689655172415,0.11724137931034483,0.696551724137931,145,"candy, candies, like, gift, box"
13,0.1773049645390071,0.07092198581560284,0.75177304964539,141,"oil, hair, coconut oil, coconut, shampoo"
3,0.17084282460136674,0.08656036446469248,0.7425968109339408,439,"sugar, water, drink, like, soda"
0,0.1512981199641898,0.06445837063563116,0.7842435094001791,1117,"food, dog, cat, dogs, treats"
9,0.15053763440860216,0.06451612903225806,0.7849462365591398,186,"bars, bar, chocolate, like, protein"
7,0.13744075829383887,0.04265402843601896,0.8199052132701422,211,"gluten, bread, gluten free, free, flour"
21,0.13636363636363635,0.045454545454545456,0.8181818181818182,66,"butter, peanut, peanut butter, pb, fat"
15,0.1346153846153846,0.08653846153846154,0.7788461538461539,104,"pasta, noodles, ramen, noodle, sauce"
23,0.1346153846153846,0.07692307692307693,0.7884615384615384,52,"crackers, cracker, graham, graham crackers, wheat"
22,0.12698412698412698,0.07936507936507936,0.7936507936507936,63,"popcorn, corn, pop, movie, theater"
1,0.12442396313364056,0.09493087557603687,0.7806451612903226,1085,"coffee, cup, cups, like, flavor"
19,0.12162162162162163,0.04054054054054054,0.8378378378378378,74,"soup, soups, lentils, lunch, make"
11,0.11920529801324503,0.059602649006622516,0.8211920529801324,151,"cereal, cereals, sugar, fiber, milk"
8,0.11538461538461539,0.07211538461538461,0.8125,208,"chips, potato, chip, bag, salt"
2,0.11030741410488246,0.06329113924050633,0.8264014466546112,553,"tea, green, teas, green tea, like"
14,0.11009174311926606,0.08256880733944955,0.8073394495412844,109,"chocolate, hot chocolate, dark, hot, dark chocolate"
10,0.10303030303030303,0.10303030303030303,0.793939393939394,165,"cookies, cookie, chocolate, oreo, like"
20,0.10294117647058823,0.10294117647058823,0.7941176470588235,68,"salt, sodium, sea, salts, sea salt"
5,0.08032128514056225,0.03614457831325301,0.8835341365461847,249,"baby, snack, son, food, baby food"
24,0.0784313725490196,0.0196078431372549,0.9019607843137255,51,"oatmeal, oats, steel, steel cut, mccann"
16,0.07766990291262135,0.07766990291262135,0.8446601941747572,103,"almonds, nuts, blue diamond, diamond, roasted"
4,0.05263157894736842,0.045112781954887216,0.9022556390977443,266,"sauce, hot, chicken, hot sauce, spice"
