text,actual,predicted,transformer_pred,transformer_correct
this has got to be the best black licorice in the world as i consider myself quite the connoisseur of this fine product,positive,neutral,positive,True
this is what you have been looking for unless you grind your own annato seeds if you re wanting that yellow rice you ve had in miami puerto rico brasil cuba or a thousand other latino restaurants then look no further i ve been using this product for yrs and it is the same thing same quality same mistake free results all you need now is that unreal rice onion garlic oregano pepper salt recipe i ve been using passed down from my dear old brasilian father hehe good luck if you want a copy send a sase to chef doogie nantucket pkwy oxnard ca,positive,negative,negative,False
i took him off the pedigree food after i heard about how loq quality it is purina one isn t the highest grade dog food but its considered to be good certainly an improvement over pedigree it smells good and looks healthy you can compare both at dogfoodadvisor com purina one is different from regular purina canned food,positive,neutral,positive,True
i thought i would try it out good price and pretty good reviews but it s not for me i crave a nice strong cup of english breakfast in the morning but this one wasn t to my liking if brewed too long it had a really bad flavor but if i brewed it less not enough or an off putting flavor i m going to try something different,negative,neutral,negative,True
now first let me start off by saying i am not a big chocolate fan that being the taste i percieve as being great may be different from yours if your looking for that rich chocolate flavor then this beverage may not be what your looking for this is by no means chocolate flavored water its got flavor as long as you stay with the first two size settings and is so easy to make why bother with anything else the bottom line if your looking for a cup of hot chocolate with a powerful chocolate flavor these k cups are not for you if you are looking for a cup of hot chocolate with a moderate amount of flavor then give these a try when trying these k cups i did not add anything else before serving ex marshmellows i hope you enjoy and dont let the low review scores point you away from enjoying the easiest cup of hot chocolate you have ever had,positive,neutral,negative,False
i handed out samples to my parents toy poodles and my newfoundland and they all thoroughly enjoyed them the size of the treat is more appropriate for a small to medium dog than my large newf though that didn t stop her from wanting one when i picked up the bag the ingredient list is pretty basic which is good preservatives always make me a little uneasy but the list is much better than the typical grocery store brand if they were a snack for me i d say they went a little too heavy on the smoke flavor the dogs didn t mind and the smell didn t seem to stay on my hands for too long i won t be buying them again but primarily because of my dog s size and because she would much rather have a piece of broccoli or some beans than something out of a plastic bag odd i know,positive,neutral,positive,True
i have just ended a year custody battle needless to say i have anxiety i m set off at the slightest thing then this little miracle fell into my lap i was prepared for disappointment didn t happen the anxiety edginess i had become all too familiar with has vanished this affect is achieved with your very st dose i now feel calm literally i no longer feel agitated i no longer bite peoples head off and to top it all off i am sleeping soundly through the night every night no waking up no tossing turning just solid sound sleep thank you first magazine for this reccommendation,positive,neutral,positive,True
i have ordered alpen cereal twice from amazon com the first order arrived in red white and blue package herein being reviewed it cost and was ordered just under a year ago the second order was only eight months after the first i do love to eat alpen cereal and cost about less however the package for the second order was different it is now the brown white and gold packaging given to original alpen original i know i ordered the original variety but the cereal i first recei ved is now called alpen with raisins and has shot up in price over for six boxes despite the word original on both packages and the words new look same great taste on my most recent purchase these cereals are not alike the most glaring difference is that the product in the red white and blue package herein being reviewed and which now seems to be called alpen with raisins although this title is nowhere to be seen on the box but instead the appelation alpen original is still used is that the product herein being reviewed is certified organic i still have one box of my first order and the newer brown box does not have the certified organic seal anywhere on the box instead of organic rolled oats and organic whole wheat the newer brown box lists rolled whole oat flakes whole wheat and etc both boxes however still carry the ou symbol signifying acceptance by the jewish orthodox union for kosher quality i am very very glad to see that the old version is still available the brown box says new look same great taste which is a bit confusing for a while there i belived the red white and blue box no longer existed however one pays almost three times as much at present for the old version natural vs organic hmmm both are good but well no one ever said organic food was cheap i hope that both versions continue be available but please if this version the one being herein reviewed is now called alpen with raisins please put these words on the box having both versions labelled original is highly confusing especially when one version has organic ingredients and the other only natural ones,positive,negative,negative,False
we have given the treat to the family pooch australian shepherd who appreciated the taste will be trying this on every other day to find the dogs preferences but won t make an immediate judgement for now as the price sees a bit high for the product will have to count the cost into the evaluation,positive,negative,negative,False
this food is definitely a step above grocery store brands but my dog could not tolerate the grain and had loose stools for months which she also had on royal canin switched to orijen puppy food and all is well,neutral,positive,positive,False
i m the biggest oreo cookie eater you ll ever find so when i discovered they make sandwich cookies i was interested however the taste is significantly different from a regular cookie the icing is the same but the cookie part is soft and mushy like a moonpie you can t really dip these in milk because they fall apart not recommended for those who grew up with the dippable kind of oreo cookies that being most of us,negative,neutral,negative,True
although the product description says that this bowl tastes like shrimp it doesn t so don t be alarmed it is a nice warm chicken broth that is full and flavor and isn t too spicy perfect for the kids on a rainy day try this bowl and you won t be disappointed i love them,positive,neutral,positive,True
when i opened this alot of the tea sacks were broken and the tea emptied out and spilled everywhere i steeped some inside my cup and noticed that all sorts of the tea leaves had come out i even took a picture and posted it under customer pics and when i sipped my drink tea leave crumbs got inside my mouth i havent noticed any effect from the tea though but i have only used it for a few days so maybe it takes awhile however if they d be able to keep the sacks closed that would help alot,negative,neutral,negative,True
i purchased a case of boxes delicious little treats of these for i thought that at that price it would be worth it even if they weren t any better than the high fructose corn syrup filled name brand poptarts and i do not regret the decision one bit the calories fat etc are very similar to those of regular poptarts but the ingredients are different sweetened with cane juice molasses honey etc they still are pink covered with sprinkles in case that s what you re into the taste consistency are really what you re interested in though right well we ve got a win win situation the pastry itself is quite good similiar to the consistency of a traditional toaster pastry in my experience some foods made with whole wheat flour end up being sort of like paste in my mouth when i m chewing but that doesn t happen at all with these and the filling is divine it doesn t taste like a liquified fruit roll up which is what i think of the cherry filling in a regular poptart you primarily taste the cherry but the pomegranite or pomegran as it says on the box comes through as well that being said these are definitely worth the super low price i paid for them and in the future i ll most likely be willing to pay more if i have to definitely superior to the ones you ll find in my local grocery store,positive,neutral,positive,True
i tasted these before giving them to my kids and the strawberry flavor is very sweet i couldn t believe it was this sweet by using natural organic sugars and not pushing the calorie count up i have not had these tested by a lab or anything like that but i found these too good to be true to give them to my kids,negative,positive,positive,False
i order this product because i work in a warehouse where it is hot in the summer most electrolyte replacement drinks to me taste to salty sqwincher does not it has a great flavor,positive,neutral,negative,False
i have three himalyans all turned their noses up at this treat offerring the cat reviewers were not impressed with the texture or the portion size however i believe the feral strays in our neighborhood may have enjoyed them,negative,positive,positive,False
i have purchased this hot cocoa for the keurig on several occasions not because of it s great taste but rather my kids love making hot cocoa with the keurig machine at a minimum of per cup i think that it s a bad value and i m only purchasing this brand until a better tasting cocoa comes along at a better price,negative,positive,negative,True
i was very skeptical at first but i was certainly not disappointed i would say these are the best cheese flavored crackers that are gluten free that i have had to date,positive,neutral,positive,True
i was pleasantly surprised how lightweight this oil is and how quickly it absorbs in to my skin i also cook with it a little and it isn t too strong although i keep thinking i smell like a large macaroon after i rub this in to my hands and arms it fades in a few minutes i ve started giving it to my very old and very finicky cat who to my surprise and delight enjoys licking it off my fingers after she eats her dinner her digestion has improved and it helps her keep a little weight on i would definitely buy this again,positive,neutral,positive,True
shipped quickly the candy was fresh and tasted great what more can i say i wish we bought more there,positive,neutral,positive,True
chips for calories is not bad when you are really craving chocolate and don t want the guilt of a calorie candy bar i also like to bag them with a handful of members mark premium quality whole almonds california grown lbs and ocean spray sweetened dried cranberries ounce bag pack of for easy trail mix,positive,neutral,positive,True
at first bite this turned off of us the kids who are veggie nuts and eat raw spinach by the handful did not care for the snacks at all the adults kept nibbling thinking it might get more palatable with time we eventually decided to try it as a snack with red wine as the slightly salty slightly bitter taste might blend really well with a hearty wine i expected more judging from the other reviews and i guess i should have just seen spinach and kale and realized that i should not have bought bags to try something new still it s not awful just a bit odd perhaps i will test mixing it with the caramel booty,neutral,negative,negative,False
very satisfied with this product addition times are listed beside each ingredient which makes this recipe easy to follow if you are already familiar with the basics of extract brewing,positive,negative,positive,True
everyone i have shared this product with has liked it if you eat it with hummus it is spectacular,positive,neutral,positive,True
i ordered this because it is science diet and it says it is minced well it is not minced and my cats do not like it it is more of a pate than minced and gets mashed down in their bowl so they can t eat it i am very unhappy with this product and my cats are too will not be buying it again returning it would be not worth it as the shipping charges are taken out of the balance so i would be losing money,neutral,negative,negative,False
don t be fooled and misled by believing these chips are healthier or better for you same fat grams and calorie content but what is worse is that they taste stale not enough nacho flavor and are so hard,negative,neutral,negative,True
this was bought for a christmas treat for my family and the other kind was really good but this one was kinda hard and stuck to your teeth and not good at all,negative,neutral,negative,True
i reviewed this product previously and gave it a low rating because i did not like it at all i passed the chicken broth on to a friend of my and she says it is great in fact she says it s the best she has ever tasted i guess it s just me so i ll give them a middle rating to reflect my dislike for the broth and my friend s enthusiastic thumbs up,neutral,negative,positive,False
perhaps i should have known when i read caramel but i found this item too sweet for my tastes nor do i remember reading that it is an instant not a brew product a lot like international coffee without the ability to adjust the flavor taking it off my s s list,neutral,negative,negative,False
very smooth but also bold on flavor and no bitterness i like this better than caribou which is also a very nice k cup coffee the starbucks has more flavor than caribou but pulls it off without turning you off i brew this starbucks house blend on medium size oz which works out for my taste when a little creamer real is added i can t say that it tastes like the starbucks house blend you get inside a real starbucks because i have never tried the house blend inside a starbucks but as k cups go this is a pleasant blend with just the right amount of strength for me and no bitter aftertaste i only gave stars because the price is higher than most other k cups otherwise this is a fine coffee,positive,neutral,positive,True
i buy these crackers all the time and this batch was not consistent with what i have bought in the past they were over toasted hence did not have the same flavor still good but i think they sent you seconds,positive,negative,negative,False
english toffee flavored liquid stevia amazing how intensely rich this is it totally tastes like sweet english toffee how thay accomplish so much flavor in these zero cal little droplets that s a voodoo mystery to me my one complaint is that they don t give any hints of their tricks to get the english toffee flavor i know that stevia is already magic in itself for its sweetness power but wondered about how they managed to get the strong english toffee swing in there on package label all they have to say basically is natuarl flavors unfortunately staying more secretive than i d have preferred but i can forgive them that one decision since overall this stuff is a great treat while leaving your conscience clean on matters of substances in the body ultimate summertime cappuccino good quality roast coffee chilled soy milk frothed if frother handy liquid stevia english toffee flavor for total indulgence serve over ice,positive,neutral,positive,True
i was chagrined by the contents way too salty so that the nuts had little flavor left also the peanuts were about and low grade examples at that not a gourmet item might be all right for commercial use,negative,neutral,negative,True
this is a wonderful full flavored tea with no bite that i ve encountered with many other greens i ve bought at least a dozen boxes both to use and to give away like the cereal commercial says mikey likes it,positive,negative,positive,True
hellmann s real mayo oz pack of is exactly what i have been looking for over the past year we ordered our first batch last fall when we had two foreign exchange students with us plus our four boys we can use container every two weeks it is important to realize that these are the big commercial containers and you get of them out of the jars we have had none of them had discoloring or bad smells every one of the containers has been to our expectations thanks for providing this product,positive,negative,positive,True
i bought this product for a friend but i liked it so much i m keeping it and buying a second one for my friend,positive,negative,positive,True
no visible contaminants good uniformity powder nice color and consistency once opened i found it to be a nice fine powder and would recommend recommend transferring to a tightly sealed container i use it for confectioners glazes and improving the durability of shellac,positive,neutral,negative,False
my dogs seem to find likety stik extremely tasty as demonstrated by their desire to keep licking it on my part however there are some reservations i have the liver flavor and for one it is one of the worst smelling doggie treats that i have not too sure if people want to carry this around in their purse the stick works like a rollerball like some of the anitperspirants you see out on market when you first open it does not roll very easily but eventually it will get going after your dog licks it a few times the second major reservation that i have is that if it is being licked then the part my dog just licked cleaned saliva and all goes back into the fluid reservoir which doesn t seem too clean to me some may argue that this shouldn t make any difference to my dog who loves licking his hooha and whose favorite appetizer is cat poop but i cannot help to think that this may be a festering ground for bacteria this may be prevented by having certain chemicals present that inhibit this possibility but then it loops back to my concern of feeding these to my dog although novel i don t really see a benefit of having this as a treat other than the caloric count,negative,neutral,negative,True
i was looking for something more grown up in a frosted mini wheat and these actually tasted better than kellogs still looking for the ultimate healthy cereal though,positive,negative,negative,False
i first came into contact with this gum from a bzzz campaign for which i am a bzzz agent this gum really surprised me what are the qualities that you want in a gum great flavor retains its softness does not promote dental caries long lasting flavor not to sticky on bubble popping good elasticity rebound on bitedown this gum holds all these qualities i think it is well worth your trying this product if those points matter to you you accomplish all those in one gum not a common thing,positive,neutral,positive,True
i liked this although it is much sweeter than betty crocker and duncan hines so i tossed in a tiny bit of salt to compensate for this but now i am getting used to the taste i no longer do so it is a good standby to have ready at hand,positive,neutral,positive,True
this tea is loose so you need to have a strainer which i didn t read in the description but i m sure it s there the tea is very fragrant i don t like mint but it s difficult to find rose lavender and camomile without mint mint does not sit well with me but the other ingredients do i like this tea very much it s very fragrant and potent beautiful box and very fresh,positive,negative,positive,True
